町名,男,女,合計,世帯,市町村名,郵便番号,緯度,経度
青葉町,869,"1,081","1,950","1,101",苫小牧市青葉町,053-0807,42.62912039,141.5704407
明野新町,"2,984","3,022","6,006","3,193",苫小牧市明野新町,053-0054,42.65813404,141.637021
明野元町,742,703,"1,445",687,苫小牧市明野元町,053-0051,42.66466769,141.6658484
あけぼの町,7,0,7,7,苫小牧市あけぼの町,059-1366,42.67875229,141.6705635
旭町,307,369,676,448,苫小牧市旭町,053-0018,42.63359354,141.6071263
有明町,188,181,369,226,苫小牧市有明町,053-0812,42.62026829,141.5601103
泉町,517,500,"1,017",636,苫小牧市泉町,053-0047,42.62026829,141.5601103
一本松町,4,3,7,6,苫小牧市一本松町,059-1375,42.65691094,141.6105765
字糸井,394,394,788,506,苫小牧市字糸井,053-0814,42.65304599,141.6441375
入船町,3,2,5,3,苫小牧市入船町,053-0003,42.61919263,141.539736
字植苗,558,581,"1,139",698,苫小牧市字植苗,059-1365,42.64589046,141.6267675
有珠の沢町,"2,165","2,301","4,466","2,324",苫小牧市有珠の沢町,053-0842,42.72647582,141.7160501
ウトナイ北,"2,080","2,029","4,109","1,502",苫小牧市ウトナイ北,059-1306,42.64471205,141.5478256
ウトナイ南,921,930,"1,851",695,苫小牧市ウトナイ南,059-1307,42.68492447,141.693272
永福町,525,548,"1,073",613,苫小牧市永福町,053-0815,42.67549798,141.6977641
王子町,287,275,562,233,苫小牧市王子町,053-0027,42.63520417,141.598594
大町,67,52,119,89,苫小牧市大町,053-0024,42.63061841,141.5953116
音羽町,830,757,"1,587","1,062",苫小牧市音羽町,053-0044,42.64649809,141.6120051
表町,255,353,608,454,苫小牧市表町,053-0022,42.63622073,141.5986994
柏木町,"2,169","2,404","4,573","2,378",苫小牧市柏木町,053-0823,42.62650793,141.530822
字柏原,1,0,1,1,苫小牧市字柏原,059-1362,42.68596195,141.740926
春日町,941,922,"1,863","1,146",苫小牧市春日町,053-0031,42.64878633,141.6016117
川沿町,"2,046","2,235","4,281","2,095",苫小牧市川沿町,053-0822,42.62085298,141.52997
木場町,733,782,"1,515",923,苫小牧市木場町,053-0033,42.64581692,141.5956516
錦西町,402,416,818,450,苫小牧市錦西町,059-1266,42.60179103,141.4796871
啓北町,617,719,"1,336",771,苫小牧市啓北町,053-0854,42.63199208,141.5655329
小糸井町,60,39,99,61,苫小牧市小糸井町,053-0813,42.61672646,141.5440885
光洋町,804,846,"1,650",937,苫小牧市光洋町,053-0811,42.6276092,141.5636644
寿町,146,183,329,233,苫小牧市寿町,053-0016,42.62929917,141.5976475
幸町,246,253,499,320,苫小牧市幸町,053-0026,42.62946277,141.5900514
栄町,310,372,682,440,苫小牧市栄町,053-0017,42.63041861,141.6006775
桜木町,"1,727","1,829","3,556","1,868",苫小牧市桜木町,053-0832,42.63003092,141.5579483
桜坂町,553,584,"1,137",516,苫小牧市桜坂町,053-0843,42.63965113,141.5371501
三光町,"2,069","2,321","4,390","2,246",苫小牧市三光町,053-0042,42.65423101,141.6199091
汐見町,512,518,"1,030",572,苫小牧市汐見町,053-0012,42.62836623,141.6067018
字静川,0,0,0,0,苫小牧市字静川,059-1363,42.64250282,141.8157364
清水町,176,181,357,198,苫小牧市清水町,053-0034,42.64883892,141.5972566
しらかば町,"1,987","2,362","4,349","2,293",苫小牧市しらかば町,053-0821,42.62278662,141.539541
白金町,179,189,368,204,苫小牧市白金町,053-0801,42.63158428,141.5775226
新開町,775,634,"1,409",770,苫小牧市新開町,053-0052,42.66751987,141.6583905
新富町,368,361,729,412,苫小牧市新富町,053-0805,42.62486278,141.5765097
新中野町,"1,079",980,"2,059","1,265",苫小牧市新中野町,053-0006,42.64310126,141.6134191
新明町,"1,150","1,063","2,213","1,238",苫小牧市新明町,053-0055,42.66192482,141.6238247
末広町,851,"1,027","1,878","1,134",苫小牧市末広町,053-0011,42.63352704,141.6108759
澄川町,"3,240","3,592","6,832","3,330",苫小牧市澄川町,059-1271,42.62114667,141.5172933
住吉町,768,"1,021","1,789","1,004",苫小牧市住吉町,053-0046,42.65293613,141.606144
青雲町,744,751,"1,495",770,苫小牧市青雲町,059-1263,42.61000473,141.4920522
大成町,"1,364","1,999","3,363","2,056",苫小牧市大成町,053-0806,42.62664293,141.5710632
字高丘,517,518,"1,035",473,苫小牧市字高丘,053-0035,42.65833003,141.6050381
高砂町,298,272,570,357,苫小牧市高砂町,053-0013,42.62716889,141.5989226
拓勇西町,"3,043","2,656","5,699","2,543",苫小牧市拓勇西町,059-1302,42.66750652,141.6736225
拓勇東町,"4,181","3,920","8,101","3,388",苫小牧市拓勇東町,059-1303,42.66784826,141.677336
字樽前,228,262,490,416,苫小牧市字樽前,059-1265,42.59765016,141.4277529
東開町,"2,106","2,085","4,191","2,201",苫小牧市東開町,059-1301,42.66676556,141.6927014
ときわ町,"1,811","1,960","3,771","1,901",苫小牧市ときわ町,059-1261,42.61807492,141.5196073
豊川町,"1,240","1,407","2,647","1,367",苫小牧市豊川町,053-0831,42.63289433,141.5548623
錦町,123,123,246,167,苫小牧市錦町,053-0023,42.63315156,141.5976638
字錦岡,460,503,963,596,苫小牧市字錦岡,059-1275,42.62656388,141.487407
日新町,"2,100","2,351","4,451","2,471",苫小牧市日新町,053-0833,42.63051096,141.5455698
字沼ノ端,59,35,94,64,苫小牧市字沼ノ端,059-1364,42.66423306,141.7093723
沼ノ端中央,"2,137","1,849","3,986","2,246",苫小牧市沼ノ端中央,059-1305,42.6705374,141.6953008
のぞみ町,640,659,"1,299",708,苫小牧市のぞみ町,059-1272,42.61704862,141.4955208
花園町,"1,389","1,532","2,921","1,615",苫小牧市花園町,053-0853,42.63640572,141.5718173
浜町,202,191,393,240,苫小牧市浜町,053-0014,42.62649933,141.593729
はまなす町,247,238,485,262,苫小牧市はまなす町,059-1276,42.62807909,141.5142985
晴海町,0,0,0,0,苫小牧市晴海町,059-1374,42.65886552,141.663913
日の出町,888,804,"1,692",917,苫小牧市日の出町,053-0043,42.64982044,141.6225814
日吉町,"1,374","1,361","2,735","1,560",苫小牧市日吉町,053-0816,42.62477317,141.5563327
双葉町,"1,227","1,250","2,477","1,510",苫小牧市双葉町,053-0045,42.65235035,141.6127433
船見町,385,313,698,479,苫小牧市船見町,053-0007,42.646318,141.622279
字弁天,0,0,0,0,苫小牧市字弁天,059-1371,42.6135532,141.8018727
北栄町,"1,972","1,808","3,780","1,811",苫小牧市北栄町,059-1304,42.67766674,141.6838041
北星町,306,327,633,325,苫小牧市北星町,059-1277,42.60573478,141.4745289
北光町,"1,511","1,522","3,033","1,439",苫小牧市北光町,053-0852,42.63653364,141.5755751
本町,148,132,280,192,苫小牧市本町,053-0025,42.62938792,141.5939342
本幸町,138,135,273,177,苫小牧市本幸町,053-0015,42.62825194,141.5942926
真砂町,0,0,0,0,苫小牧市真砂町,059-1373,42.63293014,141.6777417
松風町,98,218,316,250,苫小牧市松風町,053-0841,42.63767164,141.5586776
字丸山,0,0,0,0,苫小牧市字丸山,066-0271,42.72649459,141.5040847
字美沢,119,99,218,161,苫小牧市字美沢,059-1361,42.73996586,141.7144271
美園町,"2,017","1,865","3,882","2,084",苫小牧市美園町,053-0041,42.65928312,141.6157035
緑町,"1,214","1,184","2,398","1,483",苫小牧市緑町,053-0032,42.64240079,141.600793
港町,1,1,2,1,苫小牧市港町,053-0004,42.6305609,141.6155617
美原町,"1,192","1,248","2,440","1,098",苫小牧市美原町,059-1262,42.61029153,141.5044343
宮の森町,431,483,914,485,苫小牧市宮の森町,053-0844,42.63525665,141.5257382
見山町,"1,007","1,157","2,164","1,207",苫小牧市見山町,053-0855,42.63750527,141.5645295
宮前町,"1,135","1,150","2,285","1,100",苫小牧市宮前町,059-1264,42.60309948,141.4844477
明徳町,"1,293","1,569","2,862","1,627",苫小牧市明徳町,059-1273,42.61125997,141.4890691
もえぎ町,523,555,"1,078",554,苫小牧市もえぎ町,059-1274,42.60914836,141.4756287
元町,311,290,601,361,苫小牧市元町,053-0804,42.62451862,141.5828365
元中野町,"1,027",906,"1,933","1,266",苫小牧市元中野町,053-0005,42.64095162,141.6168412
矢代町,581,621,"1,202",697,苫小牧市矢代町,053-0803,42.62526562,141.5794397
柳町,728,771,"1,499",794,苫小牧市柳町,053-0053,42.6516622,141.6293306
山手町,613,804,"1,417",906,苫小牧市山手町,053-0851,42.64079691,141.5722834
弥生町,640,933,"1,573","1,012",苫小牧市弥生町,053-0802,42.62748489,141.5814502
字勇払,871,897,"1,768",951,苫小牧市字勇払,059-1372,42.6280742,141.7276154
若草町,748,786,"1,534",876,苫小牧市若草町,053-0021,42.64078183,141.608981
